experiment_number,movie_title,event_date,event_host,post_url,event_encore,event_location,event_image_wp_id,event_image,event_notes,event_attendees,movie_original_title,movie_alternative_titles,movie_year,movie_release_date,movie_runtime,movie_overview,movie_tagline,movie_genres,movie_content_rating,movie_director,movie_writers,movie_actors,movie_characters,movie_studio,movie_country,movie_language,movie_budget,movie_box_office,movie_poster,movie_backdrop,movie_trailer,movie_tmdb_rating,movie_tmdb_votes,movie_imdb_rating,movie_imdb_votes,movie_tmdb_id,movie_imdb_id,movie_imdb_url,movie_tmdb_url,affiliate_link_1,affiliate_link_2,affiliate_link_3,affiliate_link_4,affiliate_link_5,affiliate_link_6
001,New York Ninja,2021-12-19,zasderq,https://bigscreenbadmovies.com/experiment-001/,false,Bigscreen VR,108,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/bTusRdZ1-1.jpg,,,New York Ninja,,2021,2021-10-02,1h 32m,"After his wife is murdered, a man becomes a ninja to take revenge on her killers across the streets of New York, in this film that was originally abandoned in 1984 until it was discovered and completed by Vinegar Syndrome.",,"Action, Crime, Thriller",,"Kurtis Spieler, John Liu","Kurtis Spieler, Arthur Schweitzer, John Liu","John Liu, Don Wilson, Adrienne Meltzer, Linnea Quigley, Vince Murdocco, Leon Isaac Kennedy, Cynthia Rothrock, Michael Berryman, Matt Mitler, Ginger Lynn Allen","John Liu / The Ninja, John Liu / The Ninja (voice), Randi Rydell, Randi Rydell (voice), Jack ""The Cameraman"" (voice), Det. Jimmy Williams (voice), Det. Janet Flores (voice), The Plutonium Killer (voice), Freddy Cufflinks (voice), Nita Liu (voice)",Vinegar Syndrome,United States of America,English,0,0,https://image.tmdb.org/t/p/w500/1oXECgPkTPx98EZWcaCpHH3Rdhv.jpg,https://image.tmdb.org/t/p/w1280/7llc00qqXcWWaJiI8Nnddepc4gN.jpg,https://www.youtube.com/watch?v=X1wMt3fgOyM,5.1,31,,,870219,tt15358226,https://www.imdb.com/title/tt15358226/,https://www.themoviedb.org/movie/870219,,,,,,
002,Blood Beat,2021-12-20,zasderq,https://bigscreenbadmovies.com/experiment-002/,false,Bigscreen VR,,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/008126_1177x662_671865_0631-1.jpg,,,Blood Beat,,1983,1983-03-18,1h 26m,"Sarah and her boyfriend have decided to spend Christmas at his home in rural Wisconsin. However, upon arriving, she begins to feel a strange presence around her, and a mysterious figure garbed in a Samurai outfit begins murdering the townsfolk.",Who can survive its reign of terror?,Horror,R,Fabrice A. Zaphiratos,Fabrice A. Zaphiratos,"Helen Benton, Terry Brown, Dana Day, James Fitzgibbons, Claudia Peyton, Peter Spelson, Franck Miley, Carol Wagner, Charlie White, Andrea Cauchon","Cathy, Gary, Dolly, Ted, Sarah, Uncle Pete, Paul, Christie, Sheriff, Little Girl","Huskypup Film Productions, Trans World Entertainment",United States of America,English,0,0,https://image.tmdb.org/t/p/w500/ym1N2A5CSJiZGaF3mfnUpmdltx5.jpg,https://image.tmdb.org/t/p/w1280/82yeJOx80OYgXHF9tVyxEBQabTm.jpg,https://www.youtube.com/watch?v=9wJFp2oK8Cg,4.6,48,,,84999,tt0088822,https://www.imdb.com/title/tt0088822/,https://www.themoviedb.org/movie/84999,,,,,,
002,Samurai Cop,2021-12-20,zasderq,https://bigscreenbadmovies.com/experiment-002/,false,Bigscreen VR,104,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/008126_1177x662_671865_0631-1.jpg,,,Samurai Cop,,1991,1991-11-30,1h 36m,"When Japanese organized crime imbeds itself within LA, the police turn to one man to take down the deadly Yakuza — Joe Marshall, aka ""The Samurai."" With his fearless swagger and rock hard jaw, The Samurai tears a two-fisted hole through the mob and doesn't stop until the job is done.",You have the right to remain silent—dead silent.,"Action, Crime, Comedy, Thriller",R,Amir Shervan,Amir Shervan,"Mathew Karedas, Mark Frazer, Cranston Komuro, Robert Z'Dar, Gerald Okamura, Melissa Moore, Joselito Rescober, Cameron Oppenheimer, Jannis Farley, Dale Cummings","Joe Marshall, Frank Washington, Fooj Fujiyama, Yamashita, Okamura, Peggy, Gay Waiter, Female Henchwoman, Jennifer, Captain Roma",Hollywood Royal Pictures,United States of America,English,0,0,https://image.tmdb.org/t/p/w500/jOlz0kpxlLY5xixyDYpcYUi2SJy.jpg,https://image.tmdb.org/t/p/w1280/9tMxMZA4L5YOSAeYa7wdq1Hg93c.jpg,https://www.youtube.com/watch?v=R6OoZNdAQuA,4.5,188,,,65374,tt0130236,https://www.imdb.com/title/tt0130236/,https://www.themoviedb.org/movie/65374,,,,,,
002,Samurai Cop 2: Deadly Vengeance,2021-12-20,zasderq,https://bigscreenbadmovies.com/experiment-002/,false,Bigscreen VR,,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/008126_1177x662_671865_0631-1.jpg,,,Samurai Cop 2: Deadly Vengeance,,2015,2015-10-09,1h 30m,"25 years later after the events of Samurai Cop (1991), Detective Frank Washington is forced to team up with his long estranged partner Joe Marshall to solve a series of assassinations being committed by a secret group of female vigilante killers.",They thought he was dead. He was just coolin' off.,"Action, Comedy, Crime, Thriller",R,Gregory Hatanaka,"Tony T.L. Young, Gregory Hatanaka, Rich Mallery","Mathew Karedas, Mark Frazer, Bai Ling, Kayden Kross, Tommy Wiseau, Cranston Komuro, Laurene Landon, Melissa Moore, Mel Novak, Lexi Belle","Joe Marshall, Frank Washington, Doggé, Jennifer Marshall, Linton, Fooj Fujiyama, Detective Higgins, Peggy, Cutter, Hera","Cinema Epoch, CineRidge Entertainment",United States of America,English,1500000,0,https://image.tmdb.org/t/p/w500/ivqNJBvtpGb6NCM5ti7pyZVyvKE.jpg,https://image.tmdb.org/t/p/w1280/sQg9mZapqvudVi6TXOOKxKZofmc.jpg,https://www.youtube.com/watch?v=996zhYei9Xw,3.7,74,,,284460,tt3398252,https://www.imdb.com/title/tt3398252/,https://www.themoviedb.org/movie/284460,,,,,,
002,Miami Connection,2021-12-20,zasderq,https://bigscreenbadmovies.com/experiment-002/,false,Bigscreen VR,,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/008126_1177x662_671865_0631-1.jpg,,,Miami Connection,,1987,1987-08-18,1h 26m,"In a world where ninjas dream of being rock stars and rock stars dream of being ninjas, a martial arts rock band goes up against a band of motorcycle ninjas who have tightened their grip on Florida's narcotics trade.",Greetings from the most dangerous jungle in the world: the streets of Miami.,"Action, Crime, Music",NR,"Y.K. Kim, Richard Park Wu-sang","Y.K. Kim, Joseph Diamand, Richard Park Wu-sang","Y.K. Kim, Vincent Hirsch, Joseph Diamand, Maurice Smith, Angelo Janotti, Kathy Collier, William Ergle, Si Y Jo, William P. Young, Joy Sharpe","Mark, John, Jack, Jim, Tom, Jane, Jeff, Yashito, Club Owner, Club Owner's Girlfriend",Drafthouse Films,"United States of America, Hong Kong",English,0,0,https://image.tmdb.org/t/p/w500/nF2tMgwkIcgOJbXqDxys3lHmJOy.jpg,https://image.tmdb.org/t/p/w1280/h5xS2MIXoG7qIrDp84YgDl3DEvh.jpg,https://www.youtube.com/watch?v=tDFiqhRlKXA,5.2,140,,,59558,tt0092549,https://www.imdb.com/title/tt0092549/,https://www.themoviedb.org/movie/59558,,,,,,
003,Death Wish 3,2021-12-21,zasderq,https://bigscreenbadmovies.com/experiment-003/,false,Bigscreen VR,,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/0__ZzE47m77D7m23he1-1.jpg,,,Death Wish 3,,1985,1985-11-01,1h 30m,Architect/vigilante Paul Kersey arrives back in New York City and is forcibly recruited by a crooked police chief to fight street crime caused by a large gang terrorizing the neighborhoods.,He's back in New York bringing justice to the streets...,"Action, Crime, Drama, Thriller",R,Michael Winner,Don Jakoby,"Charles Bronson, Deborah Raffin, Ed Lauter, Martin Balsam, Gavan O'Herlihy, Kirk Taylor, Alex Winter, Tony Spiridakis, Ricco Ross, Tony Britts","Paul Kersey, Kathryn Davis, Insp. Richard S. Shriker, Bennett Cross, Manny Fraker, Giggler, Hermosa, Angel, The Cuban, Tulio","The Cannon Group, Golan-Globus Productions",United States of America,English,9000000,16116878,https://image.tmdb.org/t/p/w500/mc33TytXxkC9cSKyztDJzwF3lbn.jpg,https://image.tmdb.org/t/p/w1280/q8WH2ue8GTckObot0iIjOBll7Qa.jpg,https://www.youtube.com/watch?v=H8G6HcTcYwg,6.2,439,,,24873,tt0089003,https://www.imdb.com/title/tt0089003/,https://www.themoviedb.org/movie/24873,,,,,,
003,Deadly Prey,2021-12-21,zasderq,https://bigscreenbadmovies.com/experiment-003/,false,Bigscreen VR,,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/0__ZzE47m77D7m23he1-1.jpg,,,Deadly Prey,,1987,1987-11-02,1h 25m,"A group of sadistic mercenaries led by Col. John Hogan kidnap Michael Danton from his home, and set him loose on the grounds of their secret camp to be used as training for new recruits. Danton has been called the ""most perfect killer ever."" Now, he'll have to prove it again. This prey has become DEADLY!","In Vietnam, he was the best... He still is!",Action,R,David A. Prior,David A. Prior,"Cameron Mitchell, Troy Donahue, Ted Prior, Fritz Matthews, David James Campbell, Dawn Abraham, William Zipp, Suzanne Tara, Thomas Baldwin, Leo Weltman","Jamie's Father, Don Michaelson, Michael ""Mike"" Danton, Lt. Thornton, Col. Hogan, Sybil, Cooper, Jamie, Hillbillie, Will",Action International Pictures,United States of America,English,0,0,https://image.tmdb.org/t/p/w500/oYnpPS5XuLIyCiarMRSkwPH87LV.jpg,https://image.tmdb.org/t/p/w1280/dHre4chV2C61t6Ri6R5G2icTiK8.jpg,https://www.youtube.com/watch?v=FQySDbFb97s,4.8,107,,,5753,tt0092848,https://www.imdb.com/title/tt0092848/,https://www.themoviedb.org/movie/5753,,,,,,
003,Silk,2021-12-21,zasderq,https://bigscreenbadmovies.com/experiment-003/,false,Bigscreen VR,,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/0__ZzE47m77D7m23he1-1.jpg,,,Silk,,1986,1986-12-01,1h 24m,"Silk, the toughest cop in Honolulu, busts small time smugglers only to reveal a larger syndicate smuggling Asian mobsters into the States by buying the identities of Hawaiian citizens.",When the heat's on no one's smoother than...,"Action, Drama, Crime",R,Cirio H. Santiago,"Cirio H. Santiago, Frederick Bailey","Cec Verrell, Bill McLaughlin, Joe Mari Avellana, Frederick Bailey, Nick Nicholson, Berto Spoor, Najid Jadali, Sam Lombardo, Bill Kipp, Steve Rogers","Jenny 'Silk' Sleighton, Tom Stevens, Yashi, Brown, Tyler, Musgrave, Knox, Hospital Attendant, Officer, Officer","Concorde Pictures, Solar Pictures","United States of America, Philippines",English,0,0,https://image.tmdb.org/t/p/w500/xlENZzbGU092R5uTi1IuqPfcHVg.jpg,https://image.tmdb.org/t/p/w1280/4d2URQUIO2Hlg9wY2x6Sb6KIeVq.jpg,,4.575,20,,,107412,tt0091957,https://www.imdb.com/title/tt0091957/,https://www.themoviedb.org/movie/107412,,,,,,
004,R.O.T.O.R.,2021-12-22,zasderq,https://bigscreenbadmovies.com/experiment-004/,false,Bigscreen VR,,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/Zwffyzb1-1.png,,,R.O.T.O.R.,,1987,1987-10-01,1h 30m,Robotic Officer Tactical Operation Research. A prototype robot intended for crime combat escapes from the development lab and goes on a killing rampage.,"Judge, Jury, and Executioner.","Action, Science Fiction",NR,Cullen Blaine,Budd Lewis,"Margaret Trigg, Richard Gesswein, Jayne Smith, James Cole, Stan Moore, Nanette Kuczek, Brad Overturf, Shawn Brown, Michael Hunter, Victor Kwasnick","Sonya, Coldyron, Dr. Steele, Greg Hutchins, Houghtaling, Penny Gayle, Moulie, Mokie Killion, Buglar, Grotes","WestWind Pictures, Manson International",United States of America,English,0,0,https://image.tmdb.org/t/p/w500/8ZkxmamJezX0lBHybcVlnetpFo0.jpg,https://image.tmdb.org/t/p/w1280/wgzTNDbhr3Af37O7OaOqQXRvAaE.jpg,https://www.youtube.com/watch?v=XJV3qFsaozE,4.4,102,,,31127,tt0098156,https://www.imdb.com/title/tt0098156/,https://www.themoviedb.org/movie/31127,,,,,,
004,Lady Terminator,2021-12-22,zasderq,https://bigscreenbadmovies.com/experiment-004/,false,Bigscreen VR,,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/Zwffyzb1-1.png,,,Pembalasan Ratu Laut Selatan,,1989,1989-06-10,1h 22m,"The spirit of an ancient evil queen posesses the body of a young anthropological student, who then goes on a murderous rampage.",She Mates... Then She Terminates,"Action, Horror, Fantasy, Science Fiction",,H. Tjut Djalil,Karr Kruinowz,"Barbara Anne Constable, Christopher J. Hart, Claudia Angelique Rademaker, Joseph P. McGlynn, Adam Jagwani, Ikang Fawzi, Fortunella, Yurike Prastica, Harun Syarief, Jeffry Waworuntu","Tania, Max, Erica, Snake, Tom, Queen of the South Sea (uncredited), Wanda (uncredited), (uncredited), (uncredited)","108 Sound Studio, Soraya Intercine Films",Indonesia,English,0,0,https://image.tmdb.org/t/p/w500/lwOK1GHK8KRgiWhfBkEnQKPLgEi.jpg,https://image.tmdb.org/t/p/w1280/hBU2INkYLe3OBKZspT0TRd3nTxX.jpg,https://www.youtube.com/watch?v=Wx_agCH3xmk,5.3,76,,,61904,tt0095483,https://www.imdb.com/title/tt0095483/,https://www.themoviedb.org/movie/61904,,,,,,
