experiment_number,movie_title,movie_year,event_date,event_host,event_location,event_image,event_notes,event_attendees,movie_original_title,movie_release_date,movie_runtime,movie_overview,movie_tagline,movie_content_rating,movie_budget,movie_box_office,movie_poster,movie_backdrop,movie_trailer,movie_tmdb_id,movie_tmdb_url,movie_tmdb_rating,movie_tmdb_votes,movie_imdb_id,movie_imdb_url,shown_3d,movie_created_at,movie_updated_at,experiment_created_at,experiment_updated_at
194,TNT Jackson,1974,Mon Jan 02 2023 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2023/01/I-predatori-dellanno-omega-Warrior-of-the-Lost-World-19831.jpg,,,TNT Jackson,Fri Jun 07 1974 20:00:00 GMT-0400 (Eastern Daylight Time),72,A woman encounters thugs and drug dealers after traveling to Hong Kong to search for her missing brother.,She'll put you in traction.,,,,https://image.tmdb.org/t/p/w500/bQPhIDA9jbM39HIsbICudkkJe5b.jpg,https://image.tmdb.org/t/p/w1280/h5ii4h7cltHwP5BOA11QijfTXMD.jpg,,85673,https://www.themoviedb.org/movie/85673,4.7,40,tt0072245,https://www.imdb.com/title/tt0072245,false,Mon Jun 16 2025 17:09:08 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:18:48 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:30 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:30 GMT-0400 (Eastern Daylight Time)
004,Lady Terminator,1989,Tue Dec 21 2021 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/Zwffyzb1-1.png,,,Pembalasan Ratu Laut Selatan,Fri Jun 09 1989 20:00:00 GMT-0400 (Eastern Daylight Time),82,"The spirit of an ancient evil queen posesses the body of a young anthropological student, who then goes on a murderous rampage.",She Mates... Then She Terminates,,,,https://image.tmdb.org/t/p/w500/lwOK1GHK8KRgiWhfBkEnQKPLgEi.jpg,https://image.tmdb.org/t/p/w1280/hBU2INkYLe3OBKZspT0TRd3nTxX.jpg,,61904,https://www.themoviedb.org/movie/61904,5.3,76,tt0095483,https://www.imdb.com/title/tt0095483,false,Mon Jun 16 2025 17:08:33 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:17:52 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:11 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:11 GMT-0400 (Eastern Daylight Time)
005,Hard Ticket to Hawaii,1987,Wed Dec 22 2021 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/maxresdefault1-1-1.jpg,,,Hard Ticket to Hawaii,Sat Feb 28 1987 19:00:00 GMT-0500 (Eastern Standard Time),96,"A Molokai-based civilian pilot and an undercover DEA agent intercept a delivery of diamonds intended for druglord Seth Romero. Seth, his henchmen, and other island undesirables launch a full-scale assault on the duo. If they're going to survive, they'll need the help of agent Rowdy Abilene and his partner/kickboxing expert Jade.",Pay the price for paradise!,,,,https://image.tmdb.org/t/p/w500/yZBHqhCZYAAihDBgMvQziITtLUO.jpg,https://image.tmdb.org/t/p/w1280/re26fPPEHFBqPNs89Zfq7mcINRk.jpg,,26011,https://www.themoviedb.org/movie/26011,5.1,117,tt0093146,https://www.imdb.com/title/tt0093146,false,Mon Jun 16 2025 17:08:34 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:17:53 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:11 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:11 GMT-0400 (Eastern Daylight Time)
006,L.E.T.H.A.L. Ladies: Return to Savage Beach,1998,Thu Dec 23 2021 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2023/03/HFOW9K91.jpg,,,L.E.T.H.A.L. Ladies: Return to Savage Beach,Mon Jan 26 1998 19:00:00 GMT-0500 (Eastern Standard Time),98,A stolen computer disk contains the location of a hidden tresaure trove. It's up to the sexy ladies of LETHAL (Legion to Ensure Total Harmony and Law) to find the treasure before the bad guys do.,The big guns are back!,,,,https://image.tmdb.org/t/p/w500/npdoxONT7hHRThjzIS4XYjYoSOB.jpg,https://image.tmdb.org/t/p/w1280/cQpSKsSjoQYnDmqTlYl0gV3qnif.jpg,,67395,https://www.themoviedb.org/movie/67395,6.1,215,tt0127759,https://www.imdb.com/title/tt0127759,false,Mon Jun 16 2025 17:08:34 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:17:54 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:11 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:11 GMT-0400 (Eastern Daylight Time)
008,Killer Workout,1987,Sat Dec 25 2021 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/MV5BNDRiY2RmMTUtODQ3Ni00YjI3LTliZjMtMjk3ZTUxZDkyNjU3XkEyXkFqcGdeQXVyNzQ1NjgzOTA@._V1_1-1.jpg,,,Killer Workout,Wed Apr 15 1987 20:00:00 GMT-0400 (Eastern Daylight Time),84,"Two years ago, a young woman named Valerie was burned after entering a tanning salon. Now, Rhonda runs a local gym where all of a sudden, people are being murdered.",The workout will kill you!,,,,https://image.tmdb.org/t/p/w500/tBCMvnyddaRl79lM5MrazZlPT3R.jpg,https://image.tmdb.org/t/p/w1280/gFbdf5Aeupl6P0xsVE8DnZMRXWx.jpg,,5752,https://www.themoviedb.org/movie/5752,4.6,81,tt0091339,https://www.imdb.com/title/tt0091339,false,Mon Jun 16 2025 17:08:35 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:17:55 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:11 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:11 GMT-0400 (Eastern Daylight Time)
009,Nightmare City,1980,Sun Dec 26 2021 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/AMKvA6w1-1.jpg,,,Incubo sulla città contaminata,Wed Dec 10 1980 19:00:00 GMT-0500 (Eastern Standard Time),91,"In a nameless European city, a local reporter and his doctor wife try to escape from hordes of blood thirsty zombies, undead people exposed to nuclear radioactivity, while the military leaders fight a losing war of attrition against the relentless atomic zombies.",Now They Are Everywhere! There Is No Escape!,,,,https://image.tmdb.org/t/p/w500/sfmcA5clypGXASVw8PLyXRhMKEG.jpg,https://image.tmdb.org/t/p/w1280/gBq9B17n023WhHZLxYGQXCwwMs1.jpg,,28319,https://www.themoviedb.org/movie/28319,5.7,165,tt0080931,https://www.imdb.com/title/tt0080931,false,Mon Jun 16 2025 17:08:35 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:17:55 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:12 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:12 GMT-0400 (Eastern Daylight Time)
012,Savage Streets,1984,Wed Dec 29 2021 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2021/12/maxresdefault_1_0_01-1.jpg,,,Savage Streets,Wed Aug 29 1984 20:00:00 GMT-0400 (Eastern Daylight Time),93,"Brenda, vivacious leader of the ""Satins"", a fun-loving group of pretty high school girls, searches for deadly vengeance against the gang members who assaulted her deaf-mute sister.",They Raped Her Sister and Killed Her Best Friend. An Eye For An Eye.,,1500000,5000000,https://image.tmdb.org/t/p/w500/ok3GMMM9NIAak5tOfObM7SHFJJ3.jpg,https://image.tmdb.org/t/p/w1280/mYGxfMf1Nc4xmkRPawvdI3mg8l9.jpg,,14673,https://www.themoviedb.org/movie/14673,6.218,133,tt0088044,https://www.imdb.com/title/tt0088044,false,Mon Jun 16 2025 17:08:36 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:17:56 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:12 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:12 GMT-0400 (Eastern Daylight Time)
014,Picasso Trigger,1988,Sun Jan 02 2022 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2022/01/AZ_MovieMinute_TwistersRevenge11-1.jpg,,,Picasso Trigger,Sun Jan 31 1988 19:00:00 GMT-0500 (Eastern Standard Time),99,"Double agent Picasso Trigger is assassinated in Paris by double-crossing bad guy Miguel Ortiz. Then Ortiz begins eliminating agents of The Agency who were involved in his brother's death. The Agency (belatedly) springs into action to stop Ortiz' heinous activities. The usual gunplay, romance, and nifty toys with bombs ensue.",They take their art seriously. They kill.,,,,https://image.tmdb.org/t/p/w500/h3O1Mv4NswuWdc3eIftcAOVcRHF.jpg,https://image.tmdb.org/t/p/w1280/jKfK0ulRBKH5mL3ZY87LzRRg9bj.jpg,,50560,https://www.themoviedb.org/movie/50560,4.4,52,tt0095867,https://www.imdb.com/title/tt0095867,false,Mon Jun 16 2025 17:08:36 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:17:57 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:12 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:12 GMT-0400 (Eastern Daylight Time)
198,Killer vs Killers,1984,Wed Jan 11 2023 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2023/01/HoMpcOD1.jpg,,,Killer contro killers,Mon Dec 31 1984 19:00:00 GMT-0500 (Eastern Standard Time),85,"A businessman recruits some thieves to steal a valuable chemical formula kept in an well guarded industrial site. The raid is successful, but once he has the formula, the man tries to get rid of those who worked for him.",,,,,https://image.tmdb.org/t/p/w500/jpQW0aFJhxckknwjgS3XGAkpLVi.jpg,https://image.tmdb.org/t/p/w1280/3jbAfQNoo2ioL1Aq0IGslnpERcN.jpg,,60197,https://www.themoviedb.org/movie/60197,4,2,tt0304290,https://www.imdb.com/title/tt0304290,false,Mon Jun 16 2025 17:09:09 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:18:49 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:30 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:30 GMT-0400 (Eastern Daylight Time)
020,Malibu Express,1985,Sat Jan 08 2022 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2022/01/JXvWDb51-1.jpg,,,Malibu Express,Thu Feb 28 1985 19:00:00 GMT-0500 (Eastern Standard Time),101,In this erotic spy tale private eye Cody Abilene teams up with the Contessa Luciana and policewoman Beverly McAfee to infiltrate a mansion and discover who is sending computer secrets to the Russians.,Packing Heat From Texas To Malibu Beach,,500000,,https://image.tmdb.org/t/p/w500/6ssdfTlmT3ORRoJNnLBYiOhDlf7.jpg,https://image.tmdb.org/t/p/w1280/kYszH26NbRzq1gZRhXhxZplXvRx.jpg,,64494,https://www.themoviedb.org/movie/64494,4.867,60,tt0089539,https://www.imdb.com/title/tt0089539,false,Mon Jun 16 2025 17:08:37 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:17:59 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:13 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:13 GMT-0400 (Eastern Daylight Time)
024,Nightmare Weekend,1986,Thu Jan 13 2022 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2022/01/white-fire_041-1.jpg,,,Nightmare Weekend,Sun May 11 1986 20:00:00 GMT-0400 (Eastern Daylight Time),86,"A female scientist performs experiments on three college girls that turn them into drooling, murderous mutants.",Two Days And Nights Of Relentless Terror. Who Will Survive?,,,,https://image.tmdb.org/t/p/w500/jPndIgw2VyGbtVZfGeWV4wDGGnJ.jpg,https://image.tmdb.org/t/p/w1280/xRSqKyWbhjxhMtqlZYwohLk3wcb.jpg,,119592,https://www.themoviedb.org/movie/119592,3.471,35,tt0091631,https://www.imdb.com/title/tt0091631,false,Mon Jun 16 2025 17:08:38 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:18:00 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:13 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:13 GMT-0400 (Eastern Daylight Time)
026,Manborg,2011,Sat Jan 15 2022 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2022/01/IMG_21121-1-1.jpg,,,Manborg,Mon Oct 24 2011 20:00:00 GMT-0400 (Eastern Daylight Time),70,"The evil Count Draculon and his army of demons have conquered Earth, but a young soldier who lost his life in the first war against Hell has reawakened in the future as MANBORG! Together with a crew of post-apocalyptic rebels, the half-man half-machine hero will fight to defeat Draculon and take back the planet!",Revenge is Back,,,,https://image.tmdb.org/t/p/w500/IVoSzuN0JefEoTQRvEekKPCsbb.jpg,https://image.tmdb.org/t/p/w1280/A5IbRUILGjBjdWIkWBovGGtI1Z.jpg,,53101,https://www.themoviedb.org/movie/53101,4.8,76,tt2060525,https://www.imdb.com/title/tt2060525,false,Mon Jun 16 2025 17:08:38 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:18:01 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:13 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:13 GMT-0400 (Eastern Daylight Time)
028,Shock 'Em Dead,1991,Wed Jan 19 2022 19:00:00 GMT-0500 (Eastern Standard Time),zasderq,Bigscreen VR,https://bigscreenbadmovies.com/wp-content/uploads/2022/01/breakin21-1.jpeg,,,Shock 'Em Dead,Wed Jan 30 1991 19:00:00 GMT-0500 (Eastern Standard Time),93,"Martin is a total loser, who nobody cares for. When he fails to get a position as guitar player in Lindsay's band and loses his job on the way, he makes a deal with a Voodoo priestess. She promises him the fulfillment of all his dreams if he swears obedience to her. He becomes a rock star and has many women - but to stay alive, he has to kill other people.","For the girl of his dreams, he'd make a deal with the devil.",,250000,,https://image.tmdb.org/t/p/w500/jtxvMkhC7sPwQltcjp5L90bKDbR.jpg,https://image.tmdb.org/t/p/w1280/fIlVgFKJ099KrDGeKcoHwIk4eG5.jpg,,40208,https://www.themoviedb.org/movie/40208,4.3,27,tt0102910,https://www.imdb.com/title/tt0102910,false,Mon Jun 16 2025 17:08:39 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:18:02 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:13 GMT-0400 (Eastern Daylight Time),Mon Jun 16 2025 17:10:13 GMT-0400 (Eastern Daylight Time)
